soc_2010_code,soc_2018_code,match_type
33-1099,33-1099,partial
33-2011,33-2011,exact
33-2021,33-2021,exact
33-2022,33-2022,exact
33-3011,33-3011,exact
33-3012,33-3012,exact
33-3021,33-3021,exact
33-3031,33-3031,exact
33-3041,33-3041,exact
33-3051,33-3051,exact
33-3052,33-3052,exact
33-9011,33-9011,exact
33-9021,33-9021,exact
33-9031,33-9031,exact
33-9032,33-9032,exact
33-9091,33-9091,exact
33-9092,33-9092,exact
33-9093,33-9093,exact
33-9099,33-9094,partial
33-9099,33-9099,partial
35-1011,35-1011,exact
35-1012,35-1012,exact
35-2011,35-2011,exact
35-2012,35-2012,exact
35-2013,35-2013,exact
35-2014,35-2014,exact
35-2015,35-2015,exact
35-2019,35-2019,exact
35-2021,35-2021,exact
35-3011,35-3011,exact
35-3021,35-3023,partial
35-3022,35-3023,partial
35-3031,35-3031,exact
35-3041,35-3041,exact
35-9011,35-9011,exact
35-9021,35-9021,exact
35-9031,35-9031,exact
35-9099,35-9099,exact
37-1011,37-1011,exact
37-1012,37-1012,exact
37-2011,37-2011,exact
37-2012,37-2012,exact
37-2019,37-2019,exact
37-2021,37-2021,exact
37-3011,37-3011,exact
37-3012,37-3012,exact
37-3013,37-3013,exact
37-3019,37-3019,exact
39-1011,39-1013,partial
39-1012,39-1013,partial
39-1021,39-1014,partial
39-1021,39-1022,partial
39-1021,53-1044,partial
39-2011,39-2011,exact
39-2021,39-2021,exact
39-3011,39-3011,exact
39-3012,39-3012,exact
39-3019,39-3019,exact
39-3021,39-3021,exact
39-3031,39-3031,exact
39-3091,39-3091,exact
39-3092,39-3092,exact
39-3093,39-3093,exact
39-3099,39-3099,exact
39-4011,39-4011,exact
39-4021,39-4021,exact
39-4031,39-4031,exact
39-5011,39-5011,exact
39-5012,39-5012,exact
39-5091,39-5091,exact
39-5092,39-5092,exact
39-5093,39-5093,exact
39-5094,39-5094,exact
39-6011,39-6011,exact
39-6012,39-6012,exact
39-7011,39-7011,exact
39-7012,39-7012,exact
39-9011,39-9011,exact
39-9021,31-1122,exact
39-9031,39-9031,exact
39-9032,39-9032,exact
39-9041,39-9041,exact
39-9099,39-4012,partial
39-9099,39-9099,partial
41-1011,41-1011,exact
41-1012,41-1012,exact
41-2011,41-2011,exact
41-2012,41-2012,exact
41-2021,41-2021,exact
41-2022,41-2022,exact
41-2031,41-2031,exact
41-3011,41-3011,exact
41-3021,41-3021,exact
41-3031,41-3031,exact
41-3041,41-3041,exact
41-3099,41-3091,exact
41-4011,41-4011,exact
41-4012,41-4012,exact
41-9011,41-9011,exact
41-9012,41-9012,exact
41-9021,41-9021,exact
41-9022,41-9022,exact
41-9031,41-9031,exact
41-9041,41-9041,exact
41-9091,41-9091,exact
41-9099,41-9099,exact
43-1011,43-1011,exact
43-2011,43-2011,exact
43-2021,43-2021,exact
43-2099,43-2099,partial
43-3011,43-3011,exact
43-3021,43-3021,exact
43-3031,43-3031,exact
43-3041,43-3041,exact
43-3051,43-3051,exact
43-3061,43-3061,exact
43-3071,43-3071,exact
43-3099,43-3099,exact
43-4011,43-4011,exact
43-4021,43-4021,exact
43-4031,43-4031,exact
43-4041,43-4041,exact
43-4051,43-4051,exact
43-4061,43-4061,exact
43-4071,43-4071,exact
43-4081,43-4081,exact
43-4111,43-4111,exact
43-4121,43-4121,exact
43-4131,43-4131,exact
43-4141,43-4141,exact
43-4151,43-4151,exact
43-4161,43-4161,exact
43-4171,43-4171,exact
43-4181,43-4181,exact
43-4199,43-4199,exact
43-5011,43-5011,exact
43-5021,43-5021,exact
43-5031,43-5031,exact
43-5032,43-5032,exact
43-5041,43-5041,exact
43-5051,43-5051,exact
43-5052,43-5052,exact
43-5053,43-5053,exact
43-5061,43-5061,exact
43-5071,43-5071,exact
43-5081,53-7065,exact
43-5111,43-5111,exact
43-6011,43-6011,exact
43-6012,43-6012,exact
43-6013,43-6013,exact
43-6014,43-6014,exact
43-9011,15-1299,partial
43-9021,43-9021,exact
43-9022,43-9022,exact
43-9031,43-9031,exact
43-9041,43-9041,exact
43-9051,43-9051,exact
43-9061,43-9061,exact
43-9071,43-9071,exact
43-9081,43-9081,exact
43-9111,43-9111,exact
43-9199,43-9199,exact
45-1011,45-1011,exact
45-2011,45-2011,exact
45-2021,45-2021,exact
45-2041,45-2041,exact
45-2091,45-2091,exact
45-2092,45-2092,exact
45-2093,45-2093,exact
45-2099,45-2099,exact
45-3011,45-3031,partial
45-3021,45-3031,partial
45-4011,45-4011,exact
45-4021,45-4021,exact
45-4022,45-4022,exact
45-4023,45-4023,exact
45-4029,45-4029,exact
47-1011,47-1011,exact
47-2011,47-2011,exact
47-2021,47-2021,exact
47-2022,47-2022,exact
47-2031,47-2031,exact
47-2041,47-2041,exact
47-2042,47-2042,exact
47-2043,47-2043,exact
47-2044,47-2044,exact
47-2051,47-2051,exact
47-2053,47-2053,exact
47-2061,47-2061,exact
47-2071,47-2071,exact
47-2072,47-2072,exact
47-2073,47-2073,exact
47-2081,47-2081,exact
47-2082,47-2082,exact
47-2111,47-2111,exact
47-2121,47-2121,exact
47-2131,47-2131,exact
47-2132,47-2132,exact
47-2141,47-2141,exact
47-2142,47-2142,exact
47-2151,47-2151,exact
47-2152,47-2152,exact
47-2161,47-2161,exact
47-2171,47-2171,exact
47-2181,47-2181,exact
47-2211,47-2211,exact
47-2221,47-2221,exact
47-2231,47-2231,exact
47-3011,47-3011,exact
47-3012,47-3012,exact
47-3013,47-3013,exact
47-3014,47-3014,exact
47-3015,47-3015,exact
47-3016,47-3016,exact
47-3019,47-3019,exact
47-4011,47-4011,exact
47-4021,47-4021,exact
47-4031,47-4031,exact
47-4041,47-4041,exact
47-4051,47-4051,exact
47-4061,47-4061,exact
47-4071,47-4071,exact
47-4091,47-4091,exact
47-4099,47-4099,exact
47-5011,47-5011,exact
47-5012,47-5012,exact
47-5013,47-5013,exact
47-5021,47-5023,partial
47-5021,47-5032,partial
47-5031,47-5032,partial
47-5041,47-5041,exact
47-5042,47-5049,partial
47-5049,47-5049,partial
47-5049,47-5099,partial
47-5051,47-5051,exact
47-5061,47-5043,exact
47-5071,47-5071,exact
47-5081,47-5081,exact
47-5099,47-5099,partial
49-1011,49-1011,exact
49-2011,49-2011,exact
49-2021,49-2021,exact
49-2022,49-2022,exact
49-2091,49-2091,exact
49-2092,49-2092,exact
49-2093,49-2093,exact
49-2094,49-2094,exact
49-2095,49-2095,exact
49-2096,49-2096,exact
49-2097,49-2097,exact
49-2098,49-2098,exact
49-3011,49-3011,exact
49-3021,49-3021,exact
49-3022,49-3022,exact
49-3023,49-3023,exact
49-3031,49-3031,exact
49-3041,49-3041,exact
49-3042,49-3042,exact
49-3043,49-3043,exact
49-3051,49-3051,exact
49-3052,49-3052,exact
49-3053,49-3053,exact
49-3091,49-3091,exact
49-3092,49-3092,exact
49-3093,49-3093,exact
49-9011,49-9011,exact
49-9012,49-9012,exact
49-9021,49-9021,exact
49-9031,49-9031,exact
49-9041,49-9041,exact
49-9043,49-9043,exact
49-9044,49-9044,exact
49-9045,49-9045,exact
49-9051,49-9051,exact
49-9052,49-9052,exact
49-9061,49-9061,exact
49-9062,49-9062,exact
49-9063,49-9063,exact
49-9064,49-9064,exact
49-9069,49-9069,exact
49-9071,49-9071,exact
49-9081,49-9081,exact
49-9091,49-9091,exact
49-9092,49-9092,exact
49-9093,49-9099,partial
49-9094,49-9094,exact
49-9095,49-9095,exact
49-9096,49-9096,exact
49-9097,49-9097,exact
49-9098,49-9098,exact
49-9099,49-9099,partial
51-1011,51-1011,exact
51-2011,51-2011,exact
51-2021,51-2021,exact
51-2022,51-2022,exact
51-2023,51-2023,exact
51-2031,51-2031,exact
51-2041,51-2041,exact
51-2091,51-2051,exact
51-2092,51-2092,exact
51-2093,51-2061,exact
51-2099,51-2099,exact
51-3011,51-3011,exact
51-3021,51-3021,exact
51-3022,51-3022,exact
51-3023,51-3023,exact
51-3091,51-3091,exact
51-3092,51-3092,exact
51-3093,51-3093,exact
51-3099,51-3099,exact
51-4011,51-9161,partial
51-4012,51-9162,partial
51-4021,51-4021,exact
51-4022,51-4022,exact
51-4023,51-4023,exact
51-4031,51-4031,exact
51-4032,51-4032,exact
51-4033,51-4033,exact
51-4034,51-4034,exact
51-4035,51-4035,exact
51-4041,51-4041,exact
51-4051,51-4051,exact
51-4052,51-4052,exact
51-4061,51-4061,exact
51-4062,51-4062,exact
51-4071,51-4071,exact
51-4072,51-4072,exact
51-4081,51-4081,exact
51-4111,51-4111,exact
51-4121,51-4121,exact
51-4122,51-4122,exact
51-4191,51-4191,exact
51-4192,51-4192,exact
51-4193,51-4193,exact
51-4194,51-4194,exact
51-4199,51-4199,exact
51-5111,51-5111,exact
51-5112,51-5112,exact
51-5113,51-5113,exact
51-6011,51-6011,exact
51-6021,51-6021,exact
51-6031,51-6031,exact
51-6041,51-6041,exact
51-6042,51-6042,exact
51-6051,51-6051,exact
51-6052,51-6052,exact
51-6061,51-6061,exact
51-6062,51-6062,exact
51-6063,51-6063,exact
51-6064,51-6064,exact
51-6091,51-6091,exact
51-6092,51-6092,exact
51-6093,51-6093,exact
51-6099,51-6099,exact
51-7011,51-7011,exact
51-7021,51-7021,exact
51-7031,51-7031,exact
51-7032,51-7032,exact
51-7041,51-7041,exact
51-7042,51-7042,exact
51-7099,51-7099,exact
51-8011,51-8011,exact
51-8012,51-8012,exact
51-8013,51-8013,exact
51-8021,51-8021,exact
51-8031,51-8031,exact
51-8091,51-8091,exact
51-8092,51-8092,exact
51-8093,51-8093,exact
51-8099,51-8099,exact
51-9011,51-9011,exact
51-9012,51-9012,exact
51-9021,51-9021,exact
51-9022,51-9022,exact
51-9023,51-9023,exact
51-9031,51-9031,exact
51-9032,51-9032,exact
51-9041,51-9041,exact
51-9051,51-9051,exact
51-9061,51-9061,exact
51-9071,51-9071,exact
51-9081,51-9081,exact
51-9082,51-9082,exact
51-9083,51-9083,exact
51-9111,51-9111,exact
51-9121,51-9124,partial
51-9122,51-9124,partial
51-9123,51-9123,exact
51-9141,51-9141,exact
51-9151,51-9151,exact
51-9191,51-9191,exact
51-9192,51-9192,exact
51-9193,51-9193,exact
51-9194,51-9194,exact
51-9195,51-9195,exact
51-9196,51-9196,exact
51-9197,51-9197,exact
51-9198,51-9198,exact
51-9199,51-9161,partial
51-9199,51-9162,partial
51-9199,51-9199,partial
53-1011,53-1041,exact
53-1021,53-1042,exact
53-1031,53-1043,partial
53-1031,53-1044,partial
53-1031,53-1049,partial
53-2011,53-2011,exact
53-2012,53-2012,exact
53-2021,53-2021,exact
53-2022,53-2022,exact
53-2031,53-2031,exact
53-3011,53-3011,exact
53-3021,53-3052,exact
53-3022,53-3051,partial
53-3022,53-3053,partial
53-3031,53-3031,exact
53-3032,53-3032,exact
53-3033,53-3033,exact
53-3041,53-3053,partial
53-3041,53-3054,partial
53-3099,53-3099,exact
53-4011,53-4011,exact
53-4012,53-4022,partial
53-4013,53-4013,exact
53-4021,53-4022,partial
53-4031,53-4031,exact
53-4041,53-4041,exact
53-4099,53-4099,exact
53-5011,53-5011,exact
53-5021,53-5021,exact
53-5022,53-5022,exact
53-5031,53-5031,exact
53-6011,53-6011,exact
53-6021,53-6021,exact
53-6031,53-6031,exact
53-6041,53-6041,exact
53-6051,53-6051,exact
53-6061,53-6061,exact
53-6099,53-6032,partial
53-6099,53-6099,partial
53-7011,53-7011,exact
53-7021,53-7021,exact
53-7031,53-7031,exact
53-7032,47-5022,partial
53-7032,53-7199,partial
53-7033,47-5044,partial
53-7041,53-7041,exact
53-7051,53-7051,exact
53-7061,53-7061,exact
53-7062,53-7062,exact
53-7063,53-7063,exact
53-7064,53-7064,exact
53-7071,53-7071,exact
53-7072,53-7072,exact
53-7073,53-7073,exact
53-7081,53-7081,exact
53-7111,47-5044,partial
53-7121,53-7121,exact
53-7199,53-7199,partial
55-1011,55-1011,exact
55-1012,55-1012,exact
55-1013,55-1013,exact
55-1014,55-1014,exact
55-1015,55-1015,exact
55-1016,55-1016,exact
55-1017,55-1017,exact
55-1019,55-1019,exact
55-2011,55-2011,exact
55-2012,55-2012,exact
55-2013,55-2013,exact
55-3011,55-3011,exact
55-3012,55-3012,exact
55-3013,55-3013,exact
55-3014,55-3014,exact
55-3015,55-3015,exact
55-3016,55-3016,exact
55-3017,17-3029,partial
55-3018,55-3018,exact
55-3019,55-3019,exact
