occupation_id,isco08_code,match_type
231199,2655,partial
231932,2656,exact
231132,2659,exact
231133,2659,exact
231135,2659,partial
231199,2659,partial
231699,2659,partial
311531,3111,exact
311532,3111,exact
311534,3111,exact
311536,3111,exact
311599,3111,partial
241931,3112,exact
311533,3112,partial
312135,3112,partial
312231,3112,exact
312331,3112,exact
313132,3112,exact
313232,3113,exact
313932,3114,partial
313433,3115,exact
313934,3115,exact
313999,3116,partial
312234,3117,partial
313935,3117,partial
313936,3117,partial
311533,3118,partial
312131,3118,exact
312132,3118,exact
312133,3118,exact
312135,3118,partial
312199,3118,partial
313131,3118,exact
313231,3118,exact
313933,3118,exact
313937,3118,exact
311599,3119,partial
312199,3119,partial
312232,3119,exact
313931,3119,exact
313935,3119,partial
313936,3119,partial
313999,3119,partial
399933,3119,exact
399936,3119,exact
313531,3121,exact
132232,3122,partial
312431,3123,exact
312432,3123,exact
399132,3131,partial
399133,3131,exact
732431,3132,exact
732999,3132,partial
399131,3133,exact
399132,3134,partial
732231,3135,partial
731231,3139,partial
832231,3139,partial
311535,3141,partial
311131,3142,exact
311132,3142,exact
311133,3142,exact
311136,3142,exact
311535,3143,partial
313431,3151,exact
313432,3152,exact
313435,3152,exact
313436,3152,exact
313499,3152,exact
299131,3153,exact
299133,3153,exact
299134,3153,exact
299199,3153,exact
299132,3154,exact
313932,3155,partial
314132,3155,partial
263131,3211,exact
263132,3211,exact
263133,3211,exact
263531,3211,exact
263932,3211,partial
244731,3212,partial
311233,3212,exact
311331,3213,exact
311332,3213,exact
262931,3214,exact
269132,3214,exact
311232,3214,exact
311235,3214,exact
311299,3214,partial
441131,3221,partial
441131,3222,partial
269999,3230,partial
461935,3230,exact
269532,3240,exact
341231,3240,partial
269131,3251,exact
269133,3251,exact
442331,3251,partial
223933,3252,exact
599131,3252,partial
599931,3252,exact
263933,3253,exact
269332,3253,exact
441931,3253,exact
441932,3253,exact
442431,3254,exact
441231,3255,exact
441232,3255,exact
441233,3255,exact
442131,3255,partial
311299,3256,partial
269331,3257,partial
311137,3257,exact
311138,3257,exact
311199,3257,partial
312234,3257,partial
591132,3257,partial
591133,3257,partial
591134,3257,exact
591141,3257,exact
591999,3257,partial
821934,3257,exact
269431,3258,partial
269432,3258,exact
263932,3259,partial
311231,3259,exact
311234,3259,exact
311299,3259,partial
411331,3259,exact
411332,3259,exact
411333,3259,exact
442131,3259,partial
212231,3311,exact
212232,3311,exact
212331,3311,exact
212332,3311,partial
212931,3311,partial
212999,3311,partial
531333,3311,exact
531399,3311,partial
531231,3312,exact
542131,3313,partial
599999,3313,partial
599999,3314,partial
223532,3315,exact
531531,3315,exact
531532,3315,exact
531533,3315,exact
531334,3321,exact
531431,3321,partial
621131,3321,exact
621231,3322,exact
621232,3322,partial
621233,3322,exact
621234,3322,exact
621299,3322,exact
619932,3323,exact
619935,3323,exact
619999,3323,partial
531332,3324,exact
571931,3331,exact
599932,3331,exact
172231,3332,exact
222231,3333,partial
411431,3333,partial
171431,3334,exact
531331,3334,exact
599937,3334,exact
622131,3334,exact
622232,3334,exact
622233,3334,exact
221332,3339,partial
222231,3339,partial
223531,3339,exact
223932,3339,exact
223999,3339,partial
411431,3339,partial
452237,3339,partial
511131,3339,exact
511231,3339,exact
531399,3339,partial
599933,3339,exact
621232,3339,partial
622231,3339,exact
622234,3339,exact
171231,3341,exact
171333,3341,exact
171399,3341,exact
551132,3341,exact
171332,3342,exact
521235,3342,exact
522131,3343,partial
522231,3343,exact
561232,3343,exact
171331,3344,partial
552131,3344,partial
311134,3351,partial
451931,3351,exact
591232,3352,exact
591231,3353,exact
591136,3354,exact
591138,3354,partial
599999,3354,partial
299231,3355,partial
223934,3359,exact
311134,3359,partial
311135,3359,exact
311199,3359,partial
312233,3359,exact
591131,3359,exact
