osca_code,osca_title
272231,ICT Quality Assurance Engineer
272232,ICT Support Engineer
242132,UI / UX Designer
272331,Telecommunications Engineer
281131,Barrister
281237,Police Prosecutor
281233,Judge
281235,Magistrate
281238,Tribunal Member
281232,Intellectual Property Lawyer
281231,Family Dispute Resolution Practitioner
281299,Judicial and Other Legal Professionals nec
281331,Solicitor
259932,Careers Adviser
261132,Alcohol and Other Drugs Counsellor
261133,Family and Relationship Counsellor
261135,Rehabilitation Counsellor
261136,School Counsellor
259933,Student Services Adviser
261131,Counsellor (General)
232231,Religious Leader
261231,Psychologist
261134,Psychotherapist
261932,Behaviour Support Practitioner
232336,Historian
411531,Interpreter
411532,Translator
232331,Archaeologist
232335,Heritage Consultant
232399,Social Science and Related Professionals nec
261331,Social Worker
231931,Community Arts Worker
411931,Recreation Officer
411131,Child Protection Practitioner
411132,Family Violence Practitioner
411633,Financial Counsellor (Community)
411636,Welfare Worker
441331,Mental Health Worker
311131,Agricultural and Agritech Technician
311132,Animal Husbandry Technician
311133,Aquaculture or Fisheries Technician
311136,Irrigation Designer
311231,Anaesthetic Technician
311233,Medical Laboratory Technician
311234,Operating Theatre Technician
311331,Community Pharmacy Technician
311332,Hospital Pharmacy Technician
311431,Phlebotomist
311235,Respiratory Technician
311299,Medical and Dental Technicians nec
441933,Audiometrist
311135,Fisheries Officer
311137,Meat Inspector
311134,Biosecurity Officer
311138,Primary Products Quality Assurance Officer
311199,Agricultural Technicians and Inspection Officers nec
311531,Chemical Technician
311532,Earth Science Technician
269532,Veterinary Technologist
311535,Life Science Technician
311536,School Laboratory Technician
311534,Hydrographer
311599,Science Technicians nec
312132,Building Designer
312431,Civil Construction Leading Hand
312432,Construction Site Supervisor
241931,Building Surveyor
312231,Building Inspector
312331,Construction Estimator
312233,Plumbing Inspector
311533,Geospatial Technician
312135,Surveying Technician
312133,Detailer Drafter
312199,Building and Landscape Designers and Technicians nec
312232,Energy Assessor
313131,Civil Engineering Draftsperson
313132,Civil Engineering Technician
313231,Electrical Engineering Draftsperson
313232,Electrical Engineering Technician
313937,Other Draftsperson
313932,Electronic Engineering Technician
313933,Mechanical Engineering Draftsperson
313934,Mechanical Engineering Technician
312234,Safety Inspector
313331,Maintenance Planner
313935,Metallurgical or Materials Technician
313936,Non-destructive Testing Technician
313531,Mining Supervisor
312131,Architectural Technician
313931,Biomedical Technician
313999,Engineering Technicians nec
314131,ICT Hardware Technician
314231,ICT Customer Support Officer
314136,Web Administrator
314199,ICT and Telecommunications Technicians nec
314132,Radiocommunications Technician
314133,Telecommunications Field Engineer
314134,Telecommunications Network Designer
314135,Telecommunications Technical Officer or Technologist
351231,Automotive Electrician
351434,Electric Vehicle Technician
351131,Automotive Technician (General)
351435,Marine Technician
351433,Diesel Technician
351436,Motorcycle Technician
351437,Small Engine Technician
331931,Blacksmith
331932,Electroplater
331933,Farrier
331934,Metal Casting Trades Worker
331935,Metal Polisher
331936,Sheetmetal Worker
331131,Metal Fabricator
331132,Pressure Welder
331133,Welder (First Class)
332131,Aircraft Maintenance Technician (Avionics)
332134,Licensed Aircraft Maintenance Engineer
332132,Aircraft Maintenance Technician (Mechanical)
332133,Aircraft Maintenance Technician (Structures)
332231,Fitter (General)
332232,Fitter and Turner
332233,Fitter-Welder
332234,Metal Machinist (First Class)
332299,Metal Fitters and Machinists nec
351431,Agricultural Mechanic
332332,Engraver
332333,Gunsmith
332334,Locksmith
332335,Precision Instrument Maker and Repairer
332336,Saw Technician
332338,Watch and Clock Maker and Repairer
332331,Engineering Patternmaker
332337,Toolmaker
351331,Panelbeater
351531,Vehicle Body Builder
351532,Vehicle Trimmer
351631,Vehicle Painter
371131,Bricklayer
371132,Stonemason
369931,Shopfitter
372131,Carpenter and Joiner
372132,Carpenter
372133,Joiner
361131,Floor Finisher
361231,Painter
362131,Glazier
362231,Plasterer (Wall and Ceiling)
362232,Renderer (Solid Plaster)
362331,Roof Tiler
362431,Wall and Floor Tiler
363131,Plumber (General)
363932,Fire Protection Plumber
363933,Mechanical Services Plumber
363931,Drainer
363231,Gasfitter
399934,Gas Network Technician
363331,Roof Plumber
381231,Electrician (General)
381232,Electrical Fitter
381233,Industrial Electrician
381234,Lift Mechanic
382131,Air Conditioning and Refrigeration Technician
381131,Electrical Distribution Trades Worker
382234,Office Equipment Technician
382231,Communications Operator
382232,Electronic Equipment Trades Worker
382233,Electronic Instrument Technician
382331,Cabler (Data and Telecommunications)
382332,Telecommunications Cable Technician
382333,Telecommunications Linesworker
382334,Telecommunications Technician
322131,Baker
322431,Pastrycook
322231,Butcher or Smallgoods Maker
161631,Senior Chef
321131,Chef
322331,Cook
341131,Dog Handler or Trainer
341132,Horse Trainer
461433,Pet Groomer
341134,Zookeeper
461432,Domestic Animal Attendant
341199,Animal Trainers and Zookeepers nec
461499,Domestic Animal Care Workers nec
343331,Shearer
341231,Veterinary Nurse
342331,Florist
342131,Gardener (General)
342231,Arborist
342232,Tree Worker
342431,Irrigation Technician
342432,Landscape Gardener
342531,Sports Turf Manager
342532,Sports Turf Trades Worker
342931,Nurseryperson
392131,Barber
392132,Hairdresser
391432,Print Finisher
391434,Screen Printer
391431,Graphic Pre-press Operator
391433,Printing Machinist
399432,Canvas Goods Fabricator
399435,Leather Goods Maker
399436,Sail Maker
399437,Shoemaker
399431,Apparel Cutter
399434,Garment Technician
399433,Dressmaker or Tailor
399438,Upholsterer
369131,Cabinet Maker
399532,Furniture Maker
399531,Furniture Finisher
399533,Picture Framer
399534,Wood Machinist
399599,Wood Machinists and Other Wood Trades Workers nec
399931,Boat Builder and Repairer
399938,Shipwright
399131,Chemical Plant Operator
399132,Gas or Petroleum Production Technician
399133,Power Generation Plant Operator
391131,Gallery or Museum Technician
391132,Library Technician
391932,Jeweller
391232,Broadcast Technician
391233,"Camera Operator (Film, Television or Video)"
391234,Lighting Technician
461232,Make-up Artist
391933,Musical Instrument Maker or Repairer
391231,Audio Engineer
391299,Performing Arts Technicians nec
391531,Signwriter
399932,Diver
391931,Interior Decorator
442431,Optical Dispenser
399935,Optical Mechanic
461936,Photographer's Assistant
399936,Plastics Technician
343332,Wool Classer
