isco08_code,soc_2010_code,match_type
5329,31-9095,partial
5329,31-9097,partial
5329,31-9099,partial
5411,33-1021,partial
5411,33-2011,partial
5412,33-1012,partial
5412,33-3051,partial
5412,33-3052,partial
5413,33-1011,partial
5413,33-3012,partial
5414,33-1099,partial
5414,33-9031,partial
5414,33-9032,partial
5414,33-9093,partial
5419,33-1099,partial
5419,33-3031,partial
5419,33-3041,partial
5419,33-9011,partial
5419,33-9091,partial
5419,33-9092,partial
5419,33-9099,partial
5419,43-5031,partial
6111,45-1011,partial
6111,45-2091,partial
6112,45-1011,partial
6112,45-2091,partial
6113,37-1012,partial
6113,37-3013,partial
6113,45-2091,partial
6114,45-1011,partial
6114,45-2091,partial
6121,45-1011,partial
6121,45-2021,partial
6122,45-1011,partial
6122,45-2021,partial
6123,45-1011,partial
6123,45-2021,partial
6129,45-1011,partial
6129,45-2021,partial
6130,45-1011,partial
6130,45-2021,partial
6130,45-2091,partial
6210,45-1011,partial
6210,45-4011,partial
6210,45-4021,partial
6210,45-4022,partial
6210,45-4023,partial
6210,45-4029,partial
6221,45-1011,partial
6221,45-2021,partial
6222,45-1011,partial
6222,45-3011,partial
6223,45-1011,partial
6223,45-3011,partial
6224,45-1011,partial
6224,45-3021,partial
6310,45-2092,exact
6320,45-2093,exact
6330,45-2092,partial
6330,45-2093,partial
6340,45-3011,partial
6340,45-3021,partial
7111,11-9021,exact
7112,47-2021,partial
7112,49-9045,partial
7113,47-2022,partial
7113,47-4091,partial
7114,47-2051,partial
7114,47-2053,partial
7114,47-4091,partial
7115,47-2031,exact
7119,47-2231,partial
7119,47-4031,partial
7119,47-4041,partial
7119,47-4099,partial
7119,49-9095,partial
7121,47-2181,exact
7122,47-2041,partial
7122,47-2042,partial
7122,47-2043,partial
7122,47-2044,partial
7123,47-2081,partial
7123,47-2082,partial
7123,47-2161,partial
7124,47-2131,partial
7124,47-2132,partial
7125,47-2121,exact
7126,47-2151,partial
7126,47-2152,partial
7127,49-1011,partial
7127,49-9021,partial
7131,47-2141,partial
7131,47-2142,partial
7132,51-9121,partial
7132,51-9122,partial
7133,37-2019,exact
7211,51-4071,partial
7211,51-4072,partial
7212,51-4121,partial
7212,51-4122,partial
7213,47-2011,partial
7213,47-2211,partial
7213,51-4192,partial
7214,47-2171,partial
7214,47-2221,partial
7214,51-2041,partial
7215,49-9096,exact
7221,51-4022,partial
7221,51-4199,partial
7222,49-9094,partial
7222,51-4012,partial
7222,51-4061,partial
7222,51-4062,partial
7222,51-4111,partial
7222,51-4192,partial
7223,51-4011,partial
7223,51-4021,partial
7223,51-4022,partial
7223,51-4023,partial
7223,51-4031,partial
7223,51-4032,partial
7223,51-4033,partial
7223,51-4034,partial
7223,51-4035,partial
7223,51-4041,partial
7223,51-4081,partial
7223,51-4199,partial
7224,51-4194,partial
7224,51-9022,partial
7231,49-1011,partial
7231,49-3021,partial
7231,49-3022,partial
7231,49-3023,partial
7231,49-3031,partial
7231,49-3051,partial
7231,49-3052,partial
7231,49-3053,partial
7231,49-3092,partial
7231,49-3093,partial
7232,49-1011,partial
7232,49-3011,partial
7233,49-1011,partial
7233,49-3041,partial
7233,49-3042,partial
7233,49-3043,partial
7233,49-9041,partial
7233,49-9043,partial
7233,49-9044,partial
7233,49-9045,partial
7233,49-9081,partial
7234,49-1011,partial
7234,49-3091,partial
7311,49-1011,partial
7311,49-9061,partial
7311,49-9062,partial
7311,49-9064,partial
7311,49-9069,partial
7312,49-1011,partial
7312,49-9063,partial
7313,51-9071,exact
7314,27-1012,partial
7314,51-9195,partial
7315,51-9022,partial
7315,51-9031,partial
7315,51-9195,partial
7316,51-9123,partial
7316,51-9194,partial
7317,27-1012,partial
7317,51-7099,partial
7318,51-6041,exact
7319,27-1012,exact
7321,43-9031,partial
7321,51-5111,partial
7322,51-5112,exact
7323,51-5113,exact
7411,47-2111,partial
7411,47-2231,partial
7412,47-4021,partial
7412,49-1011,partial
7412,49-2092,partial
7412,49-2093,partial
7412,49-2094,partial
7412,49-2095,partial
7412,49-2096,partial
7412,49-2098,partial
7412,49-3053,partial
7412,49-9011,partial
7412,49-9012,partial
7412,49-9031,partial
7412,49-9097,partial
7413,49-1011,partial
7413,49-9051,partial
7421,49-1011,partial
7421,49-2011,partial
7421,49-2091,partial
7421,49-2093,partial
7421,49-2094,partial
7421,49-2095,partial
7421,49-2096,partial
7422,49-1011,partial
7422,49-2011,partial
7422,49-2021,partial
7422,49-2022,partial
7422,49-2093,partial
7422,49-9052,partial
7422,49-2097,partial
7511,51-3021,partial
7511,51-3022,partial
7511,51-3023,partial
7511,51-3091,partial
7512,51-3011,exact
7513,51-3092,partial
7513,51-9012,partial
7514,51-3093,partial
7514,51-3099,partial
7515,45-2011,partial
7515,45-2041,partial
7516,45-2041,partial
7516,51-9041,partial
7516,51-9195,partial
7521,51-9051,partial
7521,51-9191,partial
7522,51-7011,partial
7522,51-7021,partial
7522,51-7031,partial
7522,51-7032,partial
7523,51-7042,exact
7531,51-6052,exact
7532,51-6062,partial
7532,51-6092,partial
7532,51-9031,partial
7533,49-9093,partial
7533,51-6041,partial
7533,51-6051,partial
7534,51-6093,exact
7535,45-2041,partial
7535,51-6099,partial
7536,51-6041,exact
7541,49-9092,exact
7542,47-5031,exact
7543,51-9061,exact
7544,37-1012,partial
7544,37-2021,partial
7544,37-3012,partial
7549,27-1023,partial
7549,51-9083,partial
8111,47-5021,partial
8111,47-5041,partial
8111,47-5042,partial
8111,47-5049,partial
8111,47-5051,partial
8111,47-5061,partial
8111,53-7032,partial
8111,53-7033,partial
8112,51-9021,partial
8112,51-9192,partial
8113,47-5011,partial
8113,47-5012,partial
8113,47-5013,partial
8113,47-5021,partial
8113,47-5071,partial
8113,53-7073,partial
8114,51-8099,partial
8114,51-9021,partial
8114,51-9023,partial
8114,51-9032,partial
8121,51-4021,partial
8121,51-4023,partial
8121,51-4051,partial
8121,51-4052,partial
8121,51-4191,partial
8122,51-4193,partial
8122,51-9121,partial
8122,51-9192,partial
8131,51-9011,partial
8131,51-9012,partial
8131,51-9195,partial
8132,51-9151,exact
8141,51-9021,partial
8141,51-9041,partial
8141,51-9051,partial
8141,51-9195,partial
8141,51-9197,partial
8142,51-2091,partial
8142,51-4021,partial
8142,51-4022,partial
8142,51-4023,partial
8142,51-4031,partial
8142,51-4032,partial
8142,51-4033,partial
8142,51-4034,partial
8142,51-4035,partial
8142,51-4072,partial
8142,51-4191,partial
8142,51-4193,partial
8142,51-4199,partial
8143,51-9191,partial
8143,51-9196,partial
8151,51-6064,exact
8152,51-6063,exact
8153,51-6031,exact
8154,51-6061,exact
8155,51-6099,exact
8156,51-6042,exact
8157,51-6011,exact
8159,51-6099,exact
8160,51-3091,partial
8160,51-3092,partial
8160,51-3093,partial
8160,51-3099,partial
8160,51-9041,partial
8160,51-9193,partial
8171,51-9192,partial
8171,51-9196,partial
8172,51-7041,exact
8181,51-6091,partial
8181,51-9021,partial
8181,51-9023,partial
8181,51-9041,partial
8181,51-9051,partial
8181,51-9195,partial
8182,51-8021,exact
8183,51-9111,exact
8189,51-9141,partial
8189,51-9191,partial
8189,51-9193,partial
8189,53-7011,partial
8211,51-2011,partial
8211,51-2031,partial
8212,51-2021,partial
8212,51-2022,partial
8212,51-2023,partial
8212,51-2093,partial
8212,51-9194,partial
8219,51-2092,partial
8219,51-2099,partial
8311,53-1031,partial
8311,53-4011,partial
8311,53-4012,partial
8311,53-4013,partial
8311,53-4041,partial
8311,53-7111,partial
8312,53-1031,partial
8312,53-4021,partial
8312,53-4031,partial
8312,53-4099,partial
8321,43-5021,partial
8321,53-1031,partial
8321,53-3099,partial
8322,53-1031,partial
8322,53-3011,partial
8322,53-3031,partial
8322,53-3033,partial
8322,53-3041,partial
8331,53-1031,partial
8331,53-3021,partial
8331,53-3022,partial
8331,53-4041,partial
8332,53-1031,partial
8332,53-3032,partial
8341,45-2091,partial
8341,45-4022,partial
8342,47-2071,partial
8342,47-2072,partial
8342,47-2073,partial
8342,53-7031,partial
8342,53-7032,partial
8343,39-3091,partial
8343,53-1031,partial
8343,53-6011,partial
8343,53-7021,partial
8343,53-7041,partial
8344,53-1031,partial
8344,53-7051,partial
8350,53-5011,partial
8350,53-5022,partial
9111,37-2012,exact
9112,37-2011,partial
9112,37-2012,partial
9112,53-7061,partial
9121,51-6021,exact
9122,53-7061,exact
9123,37-2011,exact
9129,37-2019,partial
9129,47-4071,partial
9211,45-2092,partial
9211,45-2099,partial
9212,45-2093,partial
9212,45-2099,partial
9213,45-2092,partial
9213,45-2093,partial
9213,45-2099,partial
9214,37-3011,partial
9214,37-3019,partial
9214,45-2092,partial
9215,45-4011,partial
9215,45-4029,partial
9216,45-2093,partial
9216,45-3011,partial
9311,47-5081,partial
9311,47-5099,partial
9312,47-3019,partial
9312,47-4051,partial
9312,47-4061,partial
9313,47-2061,partial
9313,47-3011,partial
9313,47-3012,partial
9313,47-3013,partial
9313,47-3014,partial
9313,47-3015,partial
9313,47-3016,partial
9313,47-3019,partial
9321,53-7064,exact
9329,51-9198,partial
9329,51-9199,partial
9329,53-7062,partial
9329,53-7063,partial
9331,43-5021,partial
9331,53-6099,partial
9331,53-7199,partial
9332,53-6099,partial
9332,53-7199,partial
9333,53-1011,partial
9333,53-1021,partial
9333,53-7062,partial
9333,53-7121,partial
9334,43-5081,exact
9411,35-2011,partial
9411,35-2015,partial
9412,35-2021,partial
9412,35-9011,partial
9412,35-9021,partial
9412,35-9099,partial
9510,39-9099,exact
9520,41-9091,exact
9611,53-1031,partial
9611,53-7081,partial
9612,53-7081,exact
9613,37-3019,exact
9621,39-6011,partial
9621,43-5021,partial
9622,37-3019,partial
9622,49-9071,partial
9622,49-9098,partial
9622,49-9099,partial
9623,43-5041,partial
9623,49-9091,partial
9624,53-7062,exact
9629,39-3021,partial
9629,39-3031,partial
9629,39-3091,partial
9629,39-3093,partial
9629,53-6021,partial
