occupation_id,osca_title,candidate_onet_soc_code,candidate_onet_title,match_type
312234,Safety Inspector,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",partial
312234,Safety Inspector,17-3029.01,Non-Destructive Testing Specialists,partial
312234,Safety Inspector,17-3029.08,Photonics Technicians,partial
312234,Safety Inspector,19-4043.00,"Geological Technicians, Except Hydrologic Technicians",partial
312234,Safety Inspector,19-4044.00,Hydrologic Technicians,partial
312234,Safety Inspector,19-5012.00,Occupational Health and Safety Technicians,partial
312234,Safety Inspector,45-2011.00,Agricultural Inspectors,partial
312234,Safety Inspector,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,partial
312234,Safety Inspector,53-1044.00,First-Line Supervisors of Passenger Attendants,partial
312234,Safety Inspector,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",partial
312234,Safety Inspector,53-6051.00,Transportation Inspectors,partial
312234,Safety Inspector,53-6051.01,Aviation Inspectors,partial
312234,Safety Inspector,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",partial
312331,Construction Estimator,17-3022.00,Civil Engineering Technologists and Technicians,partial
312331,Construction Estimator,17-3031.00,Surveying and Mapping Technicians,partial
312331,Construction Estimator,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,partial
312331,Construction Estimator,33-2021.00,Fire Inspectors and Investigators,partial
312331,Construction Estimator,47-4011.00,Construction and Building Inspectors,partial
312331,Construction Estimator,47-4011.01,Energy Auditors,partial
312431,Civil Construction Leading Hand,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,exact
312431,Civil Construction Leading Hand,47-1011.03,Solar Energy Installation Managers,exact
312432,Construction Site Supervisor,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,exact
312432,Construction Site Supervisor,47-1011.03,Solar Energy Installation Managers,exact
313131,Civil Engineering Draftsperson,17-3011.00,Architectural and Civil Drafters,partial
313131,Civil Engineering Draftsperson,17-3012.00,Electrical and Electronics Drafters,partial
313131,Civil Engineering Draftsperson,17-3013.00,Mechanical Drafters,partial
313131,Civil Engineering Draftsperson,17-3019.00,"Drafters, All Other",partial
313131,Civil Engineering Draftsperson,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",partial
313132,Civil Engineering Technician,17-3022.00,Civil Engineering Technologists and Technicians,partial
313132,Civil Engineering Technician,17-3031.00,Surveying and Mapping Technicians,partial
313132,Civil Engineering Technician,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,partial
313132,Civil Engineering Technician,33-2021.00,Fire Inspectors and Investigators,partial
313132,Civil Engineering Technician,47-4011.00,Construction and Building Inspectors,partial
313132,Civil Engineering Technician,47-4011.01,Energy Auditors,partial
313231,Electrical Engineering Draftsperson,17-3011.00,Architectural and Civil Drafters,partial
313231,Electrical Engineering Draftsperson,17-3012.00,Electrical and Electronics Drafters,partial
313231,Electrical Engineering Draftsperson,17-3013.00,Mechanical Drafters,partial
313231,Electrical Engineering Draftsperson,17-3019.00,"Drafters, All Other",partial
313231,Electrical Engineering Draftsperson,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",partial
313232,Electrical Engineering Technician,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,partial
313232,Electrical Engineering Technician,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,partial
313232,Electrical Engineering Technician,17-3024.01,Robotics Technicians,partial
313331,Maintenance Planner,43-5061.00,"Production, Planning, and Expediting Clerks",exact
313431,Marine Engineer,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,partial
313431,Marine Engineer,53-1044.00,First-Line Supervisors of Passenger Attendants,partial
313431,Marine Engineer,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",partial
313431,Marine Engineer,53-5031.00,Ship Engineers,partial
313432,Marine Pilot,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,partial
313432,Marine Pilot,53-1044.00,First-Line Supervisors of Passenger Attendants,partial
313432,Marine Pilot,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",partial
313432,Marine Pilot,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",partial
313433,Marine Surveyor,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,partial
313433,Marine Surveyor,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,partial
313433,Marine Surveyor,17-3024.01,Robotics Technicians,partial
313433,Marine Surveyor,17-3027.00,Mechanical Engineering Technologists and Technicians,partial
313433,Marine Surveyor,17-3027.01,Automotive Engineering Technicians,partial
313433,Marine Surveyor,17-3028.00,Calibration Technologists and Technicians,partial
313433,Marine Surveyor,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",partial
313433,Marine Surveyor,17-3029.01,Non-Destructive Testing Specialists,partial
313433,Marine Surveyor,17-3029.08,Photonics Technicians,partial
313434,Master Fisher,45-1011.00,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",partial
313434,Master Fisher,45-3031.00,Fishing and Hunting Workers,partial
313435,Ship's Master,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,partial
313435,Ship's Master,53-1044.00,First-Line Supervisors of Passenger Attendants,partial
313435,Ship's Master,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",partial
313435,Ship's Master,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",partial
313436,Ship's Officer,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,partial
313436,Ship's Officer,53-1044.00,First-Line Supervisors of Passenger Attendants,partial
313436,Ship's Officer,53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",partial
313436,Ship's Officer,53-5021.00,"Captains, Mates, and Pilots of Water Vessels",partial
313499,"Marine Transport Masters, Officers and Technicians nec",53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators,partial
313499,"Marine Transport Masters, Officers and Technicians nec",53-1044.00,First-Line Supervisors of Passenger Attendants,partial
313499,"Marine Transport Masters, Officers and Technicians nec",53-1049.00,"First-Line Supervisors of Transportation Workers, All Other",partial
313499,"Marine Transport Masters, Officers and Technicians nec",53-5021.00,"Captains, Mates, and Pilots of Water Vessels",partial
313531,Mining Supervisor,47-1011.00,First-Line Supervisors of Construction Trades and Extraction Workers,exact
313531,Mining Supervisor,47-1011.03,Solar Energy Installation Managers,exact
313931,Biomedical Technician,17-3025.00,Environmental Engineering Technologists and Technicians,partial
313931,Biomedical Technician,17-3026.00,Industrial Engineering Technologists and Technicians,partial
313931,Biomedical Technician,17-3026.01,Nanotechnology Engineering Technologists and Technicians,partial
313931,Biomedical Technician,17-3028.00,Calibration Technologists and Technicians,partial
313931,Biomedical Technician,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",partial
313931,Biomedical Technician,17-3029.01,Non-Destructive Testing Specialists,partial
313931,Biomedical Technician,17-3029.08,Photonics Technicians,partial
313931,Biomedical Technician,19-4051.00,Nuclear Technicians,partial
313931,Biomedical Technician,19-4051.02,Nuclear Monitoring Technicians,partial
313931,Biomedical Technician,19-4092.00,Forensic Science Technicians,partial
313931,Biomedical Technician,19-4044.00,Hydrologic Technicians,partial
313931,Biomedical Technician,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",partial
313931,Biomedical Technician,19-4099.01,Quality Control Analysts,partial
313931,Biomedical Technician,19-4099.03,Remote Sensing Technicians,partial
313931,Biomedical Technician,33-1021.00,First-Line Supervisors of Firefighting and Prevention Workers,partial
313931,Biomedical Technician,33-2021.00,Fire Inspectors and Investigators,partial
313931,Biomedical Technician,33-2022.00,Forest Fire Inspectors and Prevention Specialists,partial
313931,Biomedical Technician,53-6041.00,Traffic Technicians,partial
313932,Electronic Engineering Technician,17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,partial
313933,Mechanical Engineering Draftsperson,17-3011.00,Architectural and Civil Drafters,partial
313933,Mechanical Engineering Draftsperson,17-3012.00,Electrical and Electronics Drafters,partial
313933,Mechanical Engineering Draftsperson,17-3013.00,Mechanical Drafters,partial
313933,Mechanical Engineering Draftsperson,17-3019.00,"Drafters, All Other",partial
313933,Mechanical Engineering Draftsperson,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",partial
313934,Mechanical Engineering Technician,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,partial
313934,Mechanical Engineering Technician,17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,partial
313934,Mechanical Engineering Technician,17-3024.01,Robotics Technicians,partial
313934,Mechanical Engineering Technician,17-3027.00,Mechanical Engineering Technologists and Technicians,partial
313934,Mechanical Engineering Technician,17-3027.01,Automotive Engineering Technicians,partial
313934,Mechanical Engineering Technician,17-3028.00,Calibration Technologists and Technicians,partial
313934,Mechanical Engineering Technician,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",partial
313934,Mechanical Engineering Technician,17-3029.01,Non-Destructive Testing Specialists,partial
313934,Mechanical Engineering Technician,17-3029.08,Photonics Technicians,partial
313935,Metallurgical or Materials Technician,17-3028.00,Calibration Technologists and Technicians,partial
313935,Metallurgical or Materials Technician,17-3029.00,"Engineering Technologists and Technicians, Except Drafters, All Other",partial
313935,Metallurgical or Materials Technician,17-3029.01,Non-Destructive Testing Specialists,partial
313935,Metallurgical or Materials Technician,17-3029.08,Photonics Technicians,partial
