skill_id,label,category
skill_oracle_peoplesoft,Oracle PeopleSoft,technical
skill_microsoft_word,Microsoft Word,technical
skill_microsoft_sharepoint,Microsoft SharePoint,technical
skill_microsoft_project,Microsoft Project,technical
skill_microsoft_powerpoint,Microsoft PowerPoint,technical
skill_microsoft_outlook,Microsoft Outlook,technical
skill_microsoft_office_software,Microsoft Office software,technical
skill_microsoft_excel,Microsoft Excel,technical
skill_microsoft_access,Microsoft Access,technical
skill_intuit_quickbooks,Intuit QuickBooks,technical
skill_extensible_markup_language_xml,Extensible markup language XML,technical
skill_atlassian_jira,Atlassian JIRA,technical
skill_adobe_acrobat,Adobe Acrobat,technical
skill_structured_query_language_sql,Structured query language SQL,technical
skill_adobe_photoshop,Adobe Photoshop,technical
skill_facebook,Facebook,technical
skill_salesforce_software,Salesforce software,technical
skill_microsoft_visual_basic,Microsoft Visual Basic,technical
skill_microsoft_visio,Microsoft Visio,technical
skill_microsoft_sql_server,Microsoft SQL Server,technical
skill_marketo_marketing_automation,Marketo Marketing Automation,technical
skill_kronos_workforce_timekeeper,Kronos Workforce Timekeeper,technical
skill_ibm_spss_statistics,IBM SPSS Statistics,technical
skill_hubspot_software,HubSpot software,technical
skill_python,Python,technical
skill_google_docs,Google Docs,technical
skill_autodesk_autocad,Autodesk AutoCAD,technical
skill_atlassian_confluence,Atlassian Confluence,technical
skill_apple_macos,Apple macOS,technical
skill_apache_hadoop,Apache Hadoop,technical
skill_amazon_web_services_aws_software,Amazon Web Services AWS software,technical
skill_adobe_creative_cloud_software,Adobe Creative Cloud software,technical
skill_tableau,Tableau,technical
skill_google_analytics,Google Analytics,technical
skill_ruby,Ruby,technical
skill_canva,Canva,technical
skill_tiktok,TikTok,technical
skill_react,React,technical
skill_javascript_object_notation_json,JavaScript Object Notation JSON,technical
skill_go,Go,technical
skill_git,Git,technical
skill_swift,Swift,technical
skill_docker,Docker,technical
skill_django,Django,technical
skill_dassault_systemes_solidworks,Dassault Systemes SolidWorks,technical
skill_chef,Chef,technical
skill_bash,Bash,technical
skill_ansible_software,Ansible software,technical
skill_amazon_elastic_compute_cloud_ec2,Amazon Elastic Compute Cloud EC2,technical
skill_amazon_dynamodb,Amazon DynamoDB,technical
skill_student_information_systems_sis_software,Student information systems SIS software,technical
skill_trimble_sketchup_pro,Trimble SketchUp Pro,technical
skill_scala,Scala,technical
skill_procore_software,Procore software,technical
skill_microsoft_sql_server_integration_services_ssis,Microsoft SQL Server Integration Services SSIS,technical
skill_eclinicalworks_ehr_software,eClinicalWorks EHR software,technical
skill_constructconnect_planswift,ConstructConnect PlanSwift,technical
skill_transact_sql,Transact-SQL,technical
skill_outage_management_system_oms,Outage management system OMS,technical
skill_apple_ios,Apple iOS,technical
skill_disassembler_software,Disassembler software,technical
skill_xactware_xactimate,Xactware Xactimate,technical
skill_google_angular,Google Angular,technical
skill_microsoft_powershell,Microsoft PowerShell,technical
skill_business_software_applications,Business software applications,technical
skill_reporting_software,Reporting software,technical
skill_apple_safari,Apple Safari,technical
skill_geographic_information_system_gis_systems,Geographic information system GIS systems,technical
skill_clinical_trial_management_software,Clinical trial management software,technical
skill_henry_schein_dentrix,Henry Schein Dentrix,technical
skill_google_sheets,Google Sheets,technical
skill_property_management_system_pms_software,Property management system PMS software,technical
skill_learning_management_system_lms,Learning management system LMS,technical
skill_esri_arcgis_software,ESRI ArcGIS software,technical
skill_applicant_tracking_software,Applicant tracking software,technical
skill_microsoft_sql_server_reporting_services_ssrs,Microsoft SQL Server Reporting Services SSRS,technical
skill_microsoft_active_server_pages_asp,Microsoft Active Server Pages ASP,technical
skill_microsoft_net_framework,Microsoft .NET Framework,technical
skill_linux,Linux,technical
skill_enterprise_application_integration_eai_software,Enterprise application integration EAI software,technical
skill_c,C++,technical
skill_c,C#,technical
skill_apache_tomcat,Apache Tomcat,technical
