osca_code,osca_title,onet_code,onet_title,similarity_score,second_similarity_score,score_gap,candidate_count,mapping_status,mapping_method
531531,Insurance Investigator,13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.3564464896996344,0.0595656550806943,0.2968808346189401,4,accepted,score_and_gap_rule
531532,Insurance Loss Adjuster,13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.3888401823867465,0.2468843894841937,0.1419557929025528,4,accepted,score_and_gap_rule
531533,Insurance Risk Surveyor,,,0.149905007020018,0.103817578909383,0.046087428110635,4,manual_review,manual_review
599132,Library Assistant,,,0.4078854253724494,0.3899372056367748,0.017948219735674564,2,manual_review,manual_review
599934,"Production Assistant (Audio, Screen or Live Performance)",,,0.0832473777045546,0.030772449912575,0.05247492779197961,8,manual_review,manual_review
599935,"Production Coordinator (Audio, Screen or Live Performance)",,,0.1207575737617135,0.0247949720902108,0.09596260167150271,8,manual_review,manual_review
599936,Radio Dispatcher,,,0.0300392947195742,,,3,manual_review,manual_review
599931,Clinical Coder,29-2072.00,Medical Records Specialists,0.3177972492747822,0.245972262214693,0.07182498706008919,2,accepted,score_and_gap_rule
599933,Facilities Administrator,,,0.1339480715911994,0.0393210656546076,0.09462700593659179,16,manual_review,manual_review
619131,Marketing Assistant,,,0.0105335653864193,0.0065501344354868,0.003983430950932499,4,manual_review,manual_review
622231,Auctioneer,,,0.1845750336186488,0.0870326288408872,0.0975424047777616,16,manual_review,manual_review
622234,Stock and Station Agent,,,0.071111062443823,0.0619901357103305,0.009120926733492497,16,manual_review,manual_review
621131,Insurance Agent,41-3021.00,Insurance Sales Agents,0.4949011307437567,0.1507849643628273,0.3441161663809294,3,accepted,score_and_gap_rule
621231,Sales Representative (Building and Plumbing Supplies),,,0.1883559343746274,0.1498323548389135,0.03852357953571389,5,manual_review,manual_review
621232,Sales Representative (Business Services),13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.3743032710077966,0.2512662706658796,0.123037000341917,20,accepted,score_and_gap_rule
621233,Sales Representative (Motor Vehicle Parts and Accessories),,,0.346158414019926,0.3389479479905901,0.0072104660293358935,5,manual_review,manual_review
621234,Sales Representative (Personal and Household Goods),,,0.3761805282668989,0.3608776159046637,0.015302912362235188,5,manual_review,manual_review
621299,Sales Representatives nec,,,,,,5,manual_review,manual_review
531331,Business Broker,,,0.2331641657739856,0.0899096347980014,0.1432545309759842,4,manual_review,manual_review
599937,Strata Manager,,,0.2045462638489551,0.1122580734954506,0.09228819035350451,4,manual_review,manual_review
622131,Property Manager,11-9141.00,"Property, Real Estate, and Community Association Managers",0.3772435645732592,0.1900186887790763,0.1872248757941829,4,accepted,score_and_gap_rule
171431,Real Estate Agency Principal,41-9021.00,Real Estate Brokers,0.3308831759706091,0.2807665342086506,0.050116641761958514,4,accepted,score_and_gap_rule
622232,Real Estate Agent,,,0.2777313612653307,0.2739605167284587,0.0037708445368719867,4,manual_review,manual_review
622233,Real Estate Representative,41-9022.00,Real Estate Sales Agents,0.4423598735365082,0.3386939531629481,0.1036659203735601,4,accepted,score_and_gap_rule
631131,Sales Assistant (General),,,0.141920103453043,0.1354572351930073,0.006462868260035698,15,manual_review,manual_review
631331,ICT Sales Assistant,,,0.115776579748581,0.093631852493942,0.022144727254638993,2,manual_review,manual_review
631431,Motor Vehicle or Caravan Salesperson,,,0.1136584971901945,0.1067887933859998,0.006869703804194702,2,manual_review,manual_review
631432,Motor Vehicle Parts Interpreter,,,0.2741832083045724,0.0344284065061507,0.23975480179842168,2,manual_review,manual_review
631231,Community Pharmacy Sales Assistant,,,0.0828113620729416,0.0806616006856345,0.002149761387307103,2,manual_review,manual_review
631531,Retail Supervisor,41-1011.00,First-Line Supervisors of Retail Sales Workers,0.2441581061627109,,,1,accepted,single_candidate
631631,Service Station Attendant,,,0.1991439169593857,0.06473730396093,0.1344066129984557,4,manual_review,manual_review
631934,Street Vendor,,,0.1004498674134182,0.0768743087834769,0.023575558629941304,2,manual_review,manual_review
631931,Door-to-door Salesperson,41-9091.00,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers",0.118348388943881,,,1,accepted,single_candidate
631932,Materials Recycler,53-7081.00,Refuse and Recyclable Material Collectors,0.1672439230872398,,,1,accepted,single_candidate
631933,Rental Salesperson,,,0.5281039170113299,,,2,manual_review,manual_review
631999,Sales Assistants and Salespersons nec,,,,,,2,manual_review,manual_review
471431,Gaming Attendant,,,0.0953294132739769,0.023188251423409,0.0721411618505679,2,manual_review,manual_review
611131,Checkout Operator,41-2011.00,Cashiers,0.3485004771987478,0.0518934335122425,0.2966070436865053,2,accepted,score_and_gap_rule
619132,Model,41-9012.00,Models,0.1863887224831203,,,1,accepted,single_candidate
619133,Sales Demonstrator,41-9011.00,Demonstrators and Product Promoters,0.211982993702253,,,1,accepted,single_candidate
619932,Merchandise Planner,,,0.2660305673873493,0.1138174999176053,0.152213067469744,3,manual_review,manual_review
