osca_code,osca_occupation,anzsco_code,match_flag,anzsco_occupation
521232,Court Bailiff or Sheriff,599212,,Court Bailiff or Sheriff (Aus) / Court Collections Officer (NZ)
521233,Court Orderly,599213,,Court Orderly (Aus) / Court Registry Officer (NZ)
521234,Law Clerk,599112,,Legal Executive
521234,Law Clerk,599214,p,Law Clerk
521235,Legal Secretary,521212,,Legal Secretary
521236,Trust Officer,599215,,Trust Officer
522131,Secretary (General),521211,,Secretary (General)
522231,Executive Assistant,521111,,Personal Assistant
531131,Bank Officer,552111,,Bank Worker
531231,Credit or Loans Officer,552211,,Credit or Loans Officer (Aus) / Finance Clerk (NZ)
531331,Business Broker,612111,,Business Broker
531332,Commodities Trader,222111,,Commodities Trader
531333,Finance Broker,222112,,Finance Broker
531334,Insurance Broker,222113,,Insurance Broker
531399,Financial and Insurance Brokers nec,222199,,Financial Brokers nec
531431,Insurance Consultant,552312,,Insurance Consultant
531531,Insurance Investigator,599611,,Insurance Investigator
531532,Insurance Loss Adjuster,599612,,Insurance Loss Adjuster
531533,Insurance Risk Surveyor,599613,,Insurance Risk Surveyor
531931,Investment Administrator,552313,p,Money Market Clerk
531932,Paraplanner,552313,p,Money Market Clerk
541131,Accounts Clerk,551111,,Accounts Clerk
541231,Estimator,551112,,Cost Clerk
541331,Payroll Officer,551311,p,Payroll Clerk
542131,Bookkeeper,551211,,Bookkeeper
549131,Betting Clerk,561111,,Betting Agency Counter Clerk
549131,Betting Clerk,561112,,Bookmaker's Clerk
549131,Betting Clerk,561113,,Telephone Betting Clerk
549131,Betting Clerk,561199,,Betting Clerks nec
549132,Bookmaker,552311,,Bookmaker
549133,Debt Collector,599311,,Debt Collector
551131,Call or Contact Centre Operator,541112,,Call or Contact Centre Operator
551132,Call or Contact Centre Team Leader,541111,,Call or Contact Centre Team Leader
551231,Information Officer,541211,,Information Officer
551232,Switchboard Operator,561611,,Switchboard Operator
552131,Medical Receptionist,542114,,Medical Receptionist
552231,Ward Clerk,542112,,Admissions Clerk
553131,Receptionist (General),542111,,Receptionist (General)
553231,Hotel or Motel Receptionist,542113,,Hotel or Motel Receptionist
561131,General Clerk,531111,,General Clerk
561231,Data Entry Operator,532111,,Data Entry Operator
561232,Machine Shorthand Reporter,532112,,Machine Shorthand Reporter
561233,Word Processing Operator,532113,,Word Processing Operator
571131,Logistics Officer,591112,p,Production Clerk
571131,Logistics Officer,591211,,Despatching and Receiving Clerk
571231,Order Clerk,591117,,Order Clerk
571331,Procurement Officer,591113,p,Purchasing Officer
571332,Purchasing Officer,591113,p,Purchasing Officer
571431,Stock Clerk,591115,,Stock Clerk
571531,Warehouse Administrator,591116,,Warehouse Administrator
571931,Freight Forwarder,591212,p,Import-Export Clerk
571932,Production Coordinator (Logistics),591112,p,Production Clerk
591131,Aerodrome Reporting Officer,599599,p,Inspectors and Regulatory Officers nec
591132,Council Ranger,599599,p,Inspectors and Regulatory Officers nec
591133,Electrical Asset Inspector,599599,p,Inspectors and Regulatory Officers nec
591134,"Invasive Pest, Weed and Disease Inspector",599514,,"Invasive Pest, Weed and Disease Inspector"
591135,Meter Reader,561912,,Meter Reader
591136,Motor Vehicle Licence Examiner,599513,,Motor Vehicle Licence Examiner
591137,Parking Officer,561913,,Parking Inspector
591138,Transport Revenue Officer,599599,p,Inspectors and Regulatory Officers nec
591141,Water Inspector,599521,,Water Inspector
591231,Social Security Assessor,599515,,Social Security Assessor
591232,Taxation Compliance Officer,599516,,Taxation Inspector
591233,Visa and Citizenship Processing Officer,599512,p,Immigration Officer
591999,Inspectors and Regulatory Officers nec,599517,,Train Examiner
591999,Inspectors and Regulatory Officers nec,599518,,Transport Operations Inspector
591999,Inspectors and Regulatory Officers nec,599599,p,Inspectors and Regulatory Officers nec
591999,Inspectors and Regulatory Officers nec,821611,p,Railway Track Worker
599131,Filing or Registry Clerk,561311,,Filing or Registry Clerk
599132,Library Assistant,599711,,Library Assistant
599231,Human Resources Administration Assistant,599411,p,Human Resource Clerk
599232,Rostering Officer,599411,p,Human Resource Clerk
599331,Mail Clerk,561411,,Mail Clerk
599332,Postal Sorting Officer,561412,,Postal Sorting Officer
599931,Clinical Coder,599915,,Clinical Coder
599932,Customs Broker,591212,p,Import-Export Clerk
599933,Facilities Administrator,599916,,Facilities Administrator
599934,"Production Assistant (Audio, Screen or Live Performance)",599912,p,"Production Assistant (Film, Television, Radio or Stage)"
599935,"Production Coordinator (Audio, Screen or Live Performance)",599912,p,"Production Assistant (Film, Television, Radio or Stage)"
599936,Radio Dispatcher,599914,,Radio Dispatcher
599937,Strata Manager,612112,p,Property Manager
599938,Survey Interviewer,561511,,Survey Interviewer
599941,Union Organiser,223113,p,Workplace Relations Adviser
599999,Clerical and Administrative Workers nec,552314,,Statistical Clerk
599999,Clerical and Administrative Workers nec,561911,,Classified Advertising Clerk
599999,Clerical and Administrative Workers nec,561999,,Clerical and Office Support Workers nec
599999,Clerical and Administrative Workers nec,599999,p,Clerical and Administrative Workers nec
599999,Clerical and Administrative Workers nec,631112,p,Office Cashier
611131,Checkout Operator,631111,p,Checkout Operator
611131,Checkout Operator,631112,p,Office Cashier
619131,Marketing Assistant,599999,p,Clerical and Administrative Workers nec
619132,Model,639111,,Model
619133,Sales Demonstrator,639112,,Sales Demonstrator
619134,Telemarketer,639311,,Telemarketer
619135,Visual Merchandiser,639511,p,Visual Merchandiser
619931,Entertainment Venue Attendant,639411,p,Ticket Seller
619931,Entertainment Venue Attendant,899921,,Ticket Collector or Usher
619932,Merchandise Planner,639211,p,Retail Buyer
619933,Personal Shopper,639911,p,Other Sales Support Worker
619934,Reservations Agent,639411,p,Ticket Seller
619935,Retail Buyer,639211,p,Retail Buyer
619999,Sales Support Workers nec,639212,,Wool Buyer
619999,Sales Support Workers nec,639412,p,Transport Conductor
619999,Sales Support Workers nec,639911,p,Other Sales Support Worker
621131,Insurance Agent,611211,,Insurance Agent
621231,Sales Representative (Building and Plumbing Supplies),611311,,Sales Representative (Building and Plumbing Supplies)
621232,Sales Representative (Business Services),611312,,Sales Representative (Business Services)
621233,Sales Representative (Motor Vehicle Parts and Accessories),611313,,Sales Representative (Motor Vehicle Parts and Accessories)
621234,Sales Representative (Personal and Household Goods),611314,,Sales Representative (Personal and Household Goods)
621299,Sales Representatives nec,611399,,Sales Representatives nec
622131,Property Manager,612112,p,Property Manager
622231,Auctioneer,611111,,Auctioneer
622232,Real Estate Agent,612114,,Real Estate Agent
622233,Real Estate Representative,612115,,Real Estate Representative
622234,Stock and Station Agent,611112,,Stock and Station Agent
631131,Sales Assistant (General),621111,,Sales Assistant (General)
631231,Community Pharmacy Sales Assistant,621411,,Pharmacy Sales Assistant
631331,ICT Sales Assistant,621211,,ICT Sales Assistant
631431,Motor Vehicle or Caravan Salesperson,621311,,Motor Vehicle or Caravan Salesperson
631432,Motor Vehicle Parts Interpreter,621312,,Motor Vehicle Parts Interpreter / Automotive Parts Salesperson
631531,Retail Supervisor,621511,p,Retail Supervisor
631631,Service Station Attendant,621611,,Service Station Attendant
631631,Service Station Attendant,631111,p,Checkout Operator
631931,Door-to-door Salesperson,621712,,Door-to-door Salesperson
631932,Materials Recycler,621911,,Materials Recycler
631933,Rental Salesperson,621912,,Rental Salesperson
631934,Street Vendor,621711,,Cash Van Salesperson
631934,Street Vendor,621713,,Street Vendor
631999,Sales Assistants and Salespersons nec,621999,,Sales Assistants and Salespersons nec
711131,Chauffeur,731111,,Chauffeur
711132,Oversize Load Pilot Escort,731199,p,Automobile Drivers nec
711133,Rideshare Driver,731199,p,Automobile Drivers nec
711134,Taxi Driver,731112,,Taxi Driver
711199,Automobile Drivers nec,731199,p,Automobile Drivers nec
711231,Bus Driver,731211,,Bus Driver
711232,Charter and Tour Bus Driver,731212,,Charter and Tour Bus Driver
711233,Passenger Coach Driver,731213,,Passenger Coach Driver
711331,Freight Train Driver,731311,p,Train Driver
711332,Passenger Train Driver,731311,p,Train Driver
711333,Tram Driver,731312,,Tram Driver
712131,Furniture Removalist,733113,,Furniture Removalist
712231,Delivery Person,561211,,Courier
712231,Delivery Person,732111,p,Delivery Driver
712232,Postal Delivery Officer,561212,,Postal Delivery Officer
712232,Postal Delivery Officer,732111,p,Delivery Driver
713131,Truck Driver (General),733111,p,Truck Driver (General)
713132,Tow Truck Driver,733115,,Tow Truck Driver
713231,Articulated Truck Driver,733111,p,Truck Driver (General)
713232,Tanker Truck Driver,733114,,Tanker Driver
721131,Storeperson,741111,p,Storeperson
721132,Warehouse Supervisor,741111,p,Storeperson
731131,Industrial Spray Painter,711211,,Industrial Spraypainter
731132,Sandblaster,711913,,Sandblaster
731231,Paper and Pulp Production Operator,711311,,Paper Products Machine Operator
731231,Paper and Pulp Production Operator,712916,,Paper and Pulp Mill Operator
731232,Timber and Wood Production Operator,711313,,Sawmilling Operator
731232,Timber and Wood Production Operator,711314,,Other Wood Processing Machine Operator
731232,Timber and Wood Production Operator,712999,p,Stationary Plant Operators nec
731331,Plastics Fabricator or Welder,711513,,Plastics Fabricator or Welder
731332,Plastics Production Machine Operator,711511,,Plastic Cablemaking Machine Operator
731332,Plastics Production Machine Operator,711512,,Plastic Compounding and Reclamation Machine Operator
731332,Plastics Production Machine Operator,711514,,Plastics Production Machine Operator (General)
731333,Reinforced Plastic and Composite Production Worker,711515,,Reinforced Plastic and Composite Production Worker
731334,Rubber Production Machine Operator,711516,,Rubber Production Machine Operator
731399,Plastics and Rubber Production Machine Operators nec,711599,,Plastics and Rubber Production Machine Operators nec
731431,Sewing Machinist,711611,,Sewing Machinist
731432,Textile or Footwear Production Machine Operator,711711,,Footwear Production Machine Operator
731432,Textile or Footwear Production Machine Operator,711712,,Hide and Skin Processing Machine Operator
731432,Textile or Footwear Production Machine Operator,711713,,Knitting Machine Operator
731432,Textile or Footwear Production Machine Operator,711714,,Textile Dyeing and Finishing Machine Operator
731432,Textile or Footwear Production Machine Operator,711715,,Weaving Machine Operator
731432,Textile or Footwear Production Machine Operator,711716,,Yarn Carding and Spinning Machine Operator
731432,Textile or Footwear Production Machine Operator,711799,,Textile and Footwear Production Machine Operators nec
731931,Chemical Production Machine Operator,711911,,Chemical Production Machine Operator
731932,Clay Products Machine Operator,711111,,Clay Products Machine Operator
731933,Concrete Products Machine Operator,711112,,Concrete Products Machine Operator
731934,Crushing Machine Operator,712913,p,Cement Production Plant Operator
731934,Crushing Machine Operator,712999,p,Stationary Plant Operators nec
731935,Glass Production Machine Operator,711113,,Glass Production Machine Operator
731936,Photographic Print Processor,711411,,Photographic Developer and Printer
731937,Sterilisation Technician,711914,,Sterilisation Technician
731938,Stone Processing Machine Operator,711114,,Stone Processing Machine Operator
731999,Machine Operators nec,711199,,"Clay, Concrete, Glass and Stone Processing Machine Operators nec"
731999,Machine Operators nec,711912,,Motion Picture Projectionist
731999,Machine Operators nec,711999,,Machine Operators nec
732131,"Crane, Hoist or Lift Operator",712111,,"Crane, Hoist or Lift Operator"
732231,Engineering Production Worker,712311,,Engineering Production Worker
732331,Miner,712212,,Miner
732332,Shot Firer,712213,,Shot Firer
732431,Wastewater or Water Plant Operator,712921,,Waste Water or Water Plant Operator
732931,Boiler or Engine Operator,712911,,Boiler or Engine Operator
732932,Bulk Materials Handling Plant Operator,712912,,Bulk Materials Handling Plant Operator
732933,Concrete Batching Plant Operator,712914,,Concrete Batching Plant Operator
732934,Concrete Pump Operator,712915,,Concrete Pump Operator
732935,Railway Signal Operator,712917,p,Railway Signal Operator
732936,Weighbridge Operator,712922,,Weighbridge Operator
732999,Stationary Plant Operators nec,712913,p,Cement Production Plant Operator
732999,Stationary Plant Operators nec,712999,p,Stationary Plant Operators nec
741131,Agricultural and Horticultural Mobile Plant Operator,721111,,Agricultural and Horticultural Mobile Plant Operator
741132,Logging Plant Operator,721112,,Logging Plant Operator
741132,Logging Plant Operator,843112,p,Logging Assistant
741132,Logging Plant Operator,843113,,Tree Faller
741231,Earthmoving Plant Operator (General),721211,p,Earthmoving Plant Operator (General)
741232,Backhoe Operator,721212,,Backhoe Operator
741233,Bulldozer Operator,721213,,Bulldozer Operator
741234,Excavator Operator,721214,,Excavator Operator
741235,Grader Operator,721215,,Grader Operator
741236,Loader Operator,721216,,Loader Operator
741237,Tunnel Constructor,721999,p,Mobile Plant Operators nec
741331,Forklift Driver,721311,,Forklift Driver
741931,Aircraft Baggage Handler and Ground Crew,721911,,Aircraft Baggage Handler and Airline Ground Crew
741932,Aircraft Refueller,733112,p,Aircraft Refueller
741933,Linemarker,721912,,Linemarker
741934,Railway Shunter,712917,p,Railway Signal Operator
741935,Railway Track Plant Operator,721914,,Railway Track Plant Operator
741936,Road Roller Operator,721915,,Road Roller Operator
741937,Stevedore,721999,p,Mobile Plant Operators nec
741937,Stevedore,891113,,Waterside Worker
741938,Streetsweeper Operator,721916,,Streetsweeper Operator
741999,Mobile Plant Operators nec,721913,,Paving Plant Operator
741999,Mobile Plant Operators nec,721999,p,Mobile Plant Operators nec
741999,Mobile Plant Operators nec,733112,p,Aircraft Refueller
811131,Commercial Cleaner,811211,,Commercial Cleaner
811231,Domestic Cleaner,811311,,Domestic Cleaner
811331,Drycleaner,811512,,Drycleaner
811332,Laundry Worker,811511,,Laundry Worker (General)
811332,Laundry Worker,811513,,Ironer or Presser
811431,Commercial Housekeeper,811411,,Commercial Housekeeper
811432,Domestic Housekeeper,811412,,Domestic Housekeeper
811531,Vehicle Detailer,811111,,Car Detailer
811931,Carpet Cleaner,811611,,Carpet Cleaner
811932,Roof Gutter Cleaner,811699,p,Cleaners nec
811933,Window Cleaner,811612,,Window Cleaner
811999,Cleaners and Laundry Workers nec,811699,p,Cleaners nec
821131,Asbestos Removalist,821111,p,Builder's Labourer
821132,Builder's Labourer,821111,p,Builder's Labourer
821133,Concreter's Labourer,821211,p,Concreter
821134,Demolition Labourer,821111,p,Builder's Labourer
821135,Earthmoving Labourer,821113,,Earthmoving Labourer
821231,Construction Rigger,821711,,Construction Rigger
821232,Dogger,821911,,Crane Chaser
821331,Fencer,821311,,Fencer
821431,Building Insulation Installer,821411,p,Building Insulation Installer
821432,Garage Door Installer,821412,p,Home Improvement Installer
821433,Shed Builder,821412,p,Home Improvement Installer
821434,Window Furnishing Installer,821412,p,Home Improvement Installer
821499,Home Improvement and Insulation Installers nec,821412,p,Home Improvement Installer
821531,Paving and Surfacing Labourer,821511,,Paving and Surfacing Labourer
821631,"Drainage, Sewerage and Stormwater Labourer",821112,,"Drainage, Sewerage and Stormwater Labourer"
821632,Pipe Layer,821111,p,Builder's Labourer
821633,Plumber's Assistant,821114,,Plumber's Assistant
821731,Scaffolder,821712,,Scaffolder
821732,Steel Fixer,821713,,Steel Fixer
821733,Structural Steel Erector,821714,,Structural Steel Erector
821931,Driller's Offsider,821912,,Driller's Assistant
821932,Lagger,821913,,Lagger
821933,Mining Support Worker,821914,,Mining Support Worker
821934,Rail Protection Officer,821611,p,Railway Track Worker
821935,Railway Track Worker,821611,p,Railway Track Worker
821936,Surveyor's Assistant,821915,p,Surveyor's Assistant
831131,Baking Factory Worker,831111,,Baking Factory Worker
831132,Brewery Worker,831112,,Brewery Worker
831133,Coffee Roaster,831199,p,Food and Drink Factory Workers nec
831134,Confectionery Maker,831113,,Confectionery Maker
831135,Dairy Products Factory Worker,831114,,Dairy Products Maker
831135,Dairy Products Factory Worker,831199,p,Food and Drink Factory Workers nec
831136,Fruit and Vegetable Factory Worker,831115,,Fruit and Vegetable Factory Worker
831137,Grain Mill Worker,831116,,Grain Mill Worker
831138,Sugar Mill Worker,831117,,Sugar Mill Worker
831141,Winery Cellar Hand,831118,,Winery Cellar Hand
831199,Food and Drink Factory Workers nec,831199,p,Food and Drink Factory Workers nec
831231,Meat Boner and Slicer,831211,,Meat Boner and Slicer
831232,Slaughterer,831212,,Slaughterer
831331,Meat Process Worker,831311,,Meat Process Worker
831332,Poultry Process Worker,831312,,Poultry Process Worker
831333,Seafood Process Worker,831313,,Seafood Process Worker
832131,Packer (General),832112,,Container Filler
832131,Packer (General),832199,,Packers nec
832132,Chocolate Packer,832111,,Chocolate Packer
832133,Fruit and Vegetable Packer,832113,,Fruit and Vegetable Packer
832134,Meat Packer,832114,,Meat Packer
832135,Seafood Packer,832115,,Seafood Packer
832231,Product Assembler,832211,,Product Assembler
839131,Cement and Concrete Plant Worker,839911,,Cement and Concrete Plant Worker
839132,Chemical Plant Worker,839912,,Chemical Plant Worker
839133,Fabric and Textile Factory Worker,839914,,Fabric and Textile Factory Worker
839134,Glass Processing Worker,839916,,Glass Processing Worker
839135,Metal Engineering Process Worker,839111,,Metal Engineering Process Worker
839136,Paper and Pulp Process Worker,839411,,Paper and Pulp Mill Worker
839137,Plastics Factory Worker,839211,,Plastics Factory Worker
839138,Recycling Worker,839918,,Recycling Worker
839141,Timber and Wood Process Worker,839412,,Sawmill or Timber Yard Worker
839141,Timber and Wood Process Worker,839413,,Wood and Wood Products Factory Worker
839199,Materials and Chemical Process Workers nec,839212,,Rubber Factory Worker
839199,Materials and Chemical Process Workers nec,839913,,Clay Processing Factory Worker
839199,Materials and Chemical Process Workers nec,839915,,Footwear Factory Worker
839199,Materials and Chemical Process Workers nec,839917,,Hide and Skin Processing Worker
839199,Materials and Chemical Process Workers nec,839999,,Factory Process Workers nec
839231,Product Examiner,839311,,Product Examiner
839232,Product Grader,839312,,Product Grader
839233,Product Tester,839313,,Product Tester
841131,Cotton Farm Worker,842211,,Cotton Farm Worker
841132,Fruit Farm Worker,842212,,Fruit Farm Worker
841133,Fruit Picker,842213,,Fruit Picker
841134,"Grain, Oilseed, Pulse and Pasture Farm Worker",842214,,"Grain, Oilseed, Pulse and Pasture Farm Worker (Aus) / Field Farm Worker (NZ)"
841135,Mushroom Picker,842215,,Mushroom Picker
841136,Nut Farm Worker,842216,,Nut Farm Worker
841137,Sugar Cane Farm Worker,842217,,Sugar Cane Farm Worker
841138,Vegetable Farm Worker,842218,,Vegetable Farm Worker (Aus) / Market Garden Worker (NZ)
841141,Vegetable Picker,842221,,Vegetable Picker
841142,Vineyard Worker,842222,,Vineyard Worker
841199,Crop Farm Workers nec,842299,,Crop Farm Workers nec
841231,Beef Cattle Farm Worker,842311,,Beef Cattle Farm Worker
841232,Cattle and Sheep Farm Worker,842312,,Cattle and Sheep Farm Worker
841233,Dairy Cattle Farm Worker,842313,,Dairy Cattle Farm Worker
841234,Livestock Husbandry Worker,842314,,Livestock Husbandry Worker
841235,Piggery Farm Worker,842315,,Piggery Farm Worker
841236,Poultry Farm Worker,842316,,Poultry Farm Worker
841237,Sheep Farm Worker,842317,,Sheep Farm Worker
841238,Stablehand,842318,,Stablehand
841241,Wool Handler,842321,,Wool Handler
841299,Livestock Farm Workers nec,842399,,Livestock Farm Workers nec
841331,Aquaculture Worker,842111,,Aquaculture Worker
841332,Broadacre Crop and Livestock Farm Worker,842411,,Broadacre Crop and Livestock Farm Worker
841399,Mixed Production and Aquaculture Farm Workers nec,842499,,Mixed Production Farm Workers nec
842131,Garden Labourer,843211,,Garden Labourer
842231,Horticultural Nursery Assistant,843311,,Horticultural Nursery Assistant
842931,Bush Regenerator,843999,p,Forestry and Garden Workers nec
842932,Forestry Worker,843111,,Forestry Worker
842932,Forestry Worker,843112,p,Logging Assistant
842933,Irrigation Assistant,843912,,Irrigation Assistant
842999,Garden and Forestry Workers nec,843911,,Hunter-Trapper
842999,Garden and Forestry Workers nec,843999,p,Forestry and Garden Workers nec
851131,Fast Food Cook,851111,,Fast Food Cook
851231,Kitchenhand (General),851311,p,Kitchenhand
851232,Dishwasher,851311,p,Kitchenhand
851233,Pastrycook's Assistant,851211,,Pastrycook's Assistant
851299,Food Preparation Assistants nec,851299,,Food Trades Assistants nec
891131,Freight Handler (Rail or Road),891111,,Freight Handler (Rail or Road)
891132,Truck Driver's Offsider,891112,,Truck Driver's Offsider
891231,Shelf Filler,891211,,Shelf Filler
899131,Caretaker,899111,,Caretaker
899231,Deck Hand,899211,,Deck Hand
899232,Fishing Hand,899212,,Fishing Hand
899331,Handyperson,899311,,Handyperson
899431,Motor Vehicle Parts and Accessories Fitter (General),899411,,Motor Vehicle Parts and Accessories Fitter (General)
899431,Motor Vehicle Parts and Accessories Fitter (General),899413,,Exhaust and Muffler Repairer
899431,Motor Vehicle Parts and Accessories Fitter (General),899414,,Radiator Repairer
899432,Autoglazier,899412,,Autoglazier
899433,Mechanic's Assistant,899916,,Mechanic's Assistant
899434,Tyre Fitter,899415,,Tyre Fitter
899531,Rail Guard or Conductor,639412,p,Transport Conductor
899531,Rail Guard or Conductor,899917,p,Railways Assistant
899532,Railways Assistant,639411,p,Ticket Seller
899532,Railways Assistant,899917,p,Railways Assistant
899631,Road Traffic Controller,899923,,Road Traffic Controller
899931,Car Park Attendant,899912,,Car Park Attendant
899932,Crossing Supervisor,899913,,Crossing Supervisor
899933,Electrical or Telecommunications Trades Assistant,899914,,Electrical or Telecommunications Trades Assistant
899934,Leaflet or Newspaper Deliverer,899915,,Leaflet or Newspaper Deliverer
899935,Recycling or Waste Collector,899611,,Recycling or Rubbish Collector
899936,Sign Installer,899918,,Sign Erector
899937,Swimming Pool or Spa Technician,811699,p,Cleaners nec
899937,Swimming Pool or Spa Technician,899999,p,Labourers nec
899938,Trolley Collector,899922,,Trolley Collector
899941,Vending Machine Attendant,899711,p,Vending Machine Attendant
899999,Labourers nec,899999,p,Labourers nec
